artist_name,works_in_museum,in_dataset_count
Lieutenant George Montague Wheeler|Timothy H. O'Sullivan,1,1
Lewis Carroll|Flora Rankin|Irene MacDonald|Mary Josephine MacDonald,1,1
Lewis Carroll|Edith Mary Liddell,1,1
Lewis Carroll|Alice Pleasance Liddell|Edith Mary Liddell|Ina Liddell,1,1
"Lewis Carroll|Alexandra ""Xie"" Rhoda Kitchin",1,1
Abel Niépce de St. Victor,1,1
Isaiah West Taber|Carleton E. Watkins,1,1
Frederick Fiebig,1,1
George N. Barnard|James F. Gibson|Mathew B. Brady,1,1
"Gide et Baudry|Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",1,1
Georges Demeny,1,1
George W. Armstead,1,1
George Stokes,1,1
George Smith Cook,1,1
George Shadbolt,1,1
George Downes,1,1
Gustave Le Gray|Auguste Mestral,1,1
George A. Schastey & Co.,1,1
G. Gable,1,1
G. B. Gething,1,1
Félix Auguste Leclerc,1,1
Fujita,1,1
Frederick Walker,1,1
Giovanni Battista Altadonna,1,1
Gustave Le Gray|Firmin-Eugène Le Dien,1,1
Isaac G. Tyson|Charles J. Tyson|Mathew B. Brady,1,1
Henry Hamilton Bennett,1,1
Hippolyte Malègue,1,1
Hill and Adamson,1,1
Henry Thomas Wood,1,1
Henry Pollock,1,1
Henry Maull,1,1
Henry Herschel Hay Cameron,1,1
Henry Fitz Jr.,1,1
Gustave Penabert,1,1
Henry Barraud|Peter Wickens Fry,1,1
"Henri Victor Regnault|Imprimerie photographique de Blanquart-Évrard, à Lille",1,1
Henri Victor Regnault,1,1
Henri Becquerel,1,1
Hall & Company's Photograph Gallery,1,1
H. A. Lawrence|C. Ray Woods,1,1
"de Borbón, Juan",1,1
