object_id,has_person,person_percent,has_building,building_percent,has_tree,tree_percent,has_mountain,mountain_percent,has_grass,grass_percent,has_water,water_percent,has_rock,rock_percent,has_house,house_percent,has_road,road_percent,has_sidewalk,sidewalk_percent,has_fence,fence_percent,has_sea,sea_percent,has_animal,animal_percent,has_column,column_percent,has_boat,boat_percent,has_river,river_percent,has_plant,plant_percent,has_curtain,curtain_percent,has_windowpane,windowpane_percent,has_chair,chair_percent,has_field,field_percent,has_table,table_percent,has_hovel,hovel_percent,has_tent,tent_percent,has_bridge,bridge_percent,has_bench,bench_percent,has_pier,pier_percent,artist_name,origin,creation_year,work_type,works_in_museum
263608,1.0,26.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.86,,,,,,,,,,,,,,,,,,,Edgar Degas,French,1895,Photograph,10
263835,,,1.0,61.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Señan y Gonzalez,Spanish,1899,Photograph,2
263836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Señan y Gonzalez,Spanish,1899,Photograph,2
264320,1.0,3.95,,,,,,,,,1.0,11.31,,,,,,,,,,,1.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frederick Gutekunst,"American, born Germany",1899,Photograph,5
264322,1.0,22.0,,,,,,,,,1.0,9.64,,,,,1.0,0.54,,,1.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frederick Gutekunst,"American, born Germany",1899,Photograph,5
264324,1.0,12.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frederick Gutekunst,"American, born Germany",1899,Photograph,5
264325,1.0,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frederick Gutekunst,"American, born Germany",1899,Photograph,5
264528,1.0,25.56,,,,,,,,,,,1.0,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. Taurines,French ?,1915,Photograph,1
264570,1.0,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrie & Co., G.W.",British,1879,Photograph,2
264624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eugène Chauvigné,French,1877,Photograph,1
264702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy H. O'Sullivan,"American, born Ireland",1871,Photograph,56
264703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy H. O'Sullivan,"American, born Ireland",1871,Photograph,56
